station_id,city_name,country,state,iso2,iso3,latitude,longitude
54511,Beijing,China,Beijing,CN,CHN,39.9288922313,116.388285684
54161,Changchun,China,Jilin,CN,CHN,43.8650085643,125.339987344
57687,Changsha,China,Hunan,CN,CHN,28.1999699087,112.969993041
54342,Fushun,China,Liaoning,CN,CHN,41.8653890168,123.869999551
58847,Fuzhou,China,Fujian,CN,CHN,26.0799959503,119.300045938
59287,Guangzhou,China,Guangdong,CN,CHN,23.1449813019,113.325010131
57816,Gui​yang,China,Guizhou,CN,CHN,26.5800429474,106.720038614
59758,Haikou,China,Hainan,CN,CHN,20.0500022573,110.320025593
58457,Hangzhou,China,Zhejiang,CN,CHN,30.2499739777,120.170018676
50953,Harbin,China,Heilongjiang,CN,CHN,45.7499839468,126.649984903
58321,Hefei,China,Anhui,CN,CHN,31.8500313507,117.2800142
53463,Hohhot,China,Nei Mongol,CN,CHN,40.8199747915,111.659995482
54823,Jinan,China,Shandong,CN,CHN,36.6749823192,116.995018676
56778,Kunming,China,Yunnan,CN,CHN,25.0699800812,102.679975137
55591,Lhasa,China,Xizang,CN,CHN,29.6450238231,91.1000101308
58606,Nanchang,China,Jiangxi,CN,CHN,28.6799922882,115.879996296
58238,Nanjing,China,Jiangsu,CN,CHN,32.0500191437,118.779974324
59431,Nanning,China,Guangxi,CN,CHN,22.8199882192,108.320044311
58362,Shanghai,China,Shanghai,CN,CHN,31.2164524526,121.436504678
53772,Taiyuan,China,Shanxi,CN,CHN,37.8750124299,112.545057738
54527,Tianjin,China,Tianjin,CN,CHN,39.1300262645,117.200019083
57494,Wuhan,China,Hubei,CN,CHN,30.5800313507,114.270017048
52866,Xining,China,Gansu,CN,CHN,36.6199985952,101.770004841
53614,Yinchuan,China,Ningxia Hui,CN,CHN,38.4679736522,106.273037475
51463,Ürümqi,China,Xinjiang Uygur,CN,CHN,43.8050122264,87.5750056549
7761,Ajaccio,France,Corse,FR,FRA,41.9270648387,8.72829382186
7005,Amiens,France,Picardie,FR,FRA,49.9003766063,2.30000402691
7510,Bordeaux,France,Aquitaine,FR,FRA,44.8500130402,-0.59501306294
7027,Caen,France,Basse-Normandie,FR,FRA,49.1837536815,-0.34998925923
7460,Clermont-Ferrand,France,Auvergne,FR,FRA,45.7799821158,3.08000809593
7280,Dijon,France,Bourgogne,FR,FRA,47.3304042756,5.03001826846
7015,Lille,France,Nord-Pas-de-Calais,FR,FRA,50.6499690949,3.08000809593
7434,Limoges,France,Limousin,FR,FRA,45.829979064,1.24999059918
7480,Lyon,France,Rhône-Alpes,FR,FRA,45.7700085643,4.83003047549
7650,Marseille,France,Provence-Alpes-Côte-d'Azur,FR,FRA,43.289979064,5.37501013044
7643,Montpellier,France,Languedoc-Roussillon,FR,FRA,43.6103987824,3.86998571637
7180,Nancy,France,Lorraine,FR,FRA,48.6836808462,6.20002437198
7222,Nantes,France,Pays de la Loire,FR,FRA,47.2103857616,-1.5900169285
7255,Orléans,France,Centre,FR,FRA,47.900421162,1.90002844098
7149,Paris,France,Île-de-France,FR,FRA,48.8666929312,2.33333532574
7335,Poitiers,France,Poitou-Charentes,FR,FRA,46.5832922557,0.33327652854
7168,Reims,France,Champagne-Ardenne,FR,FRA,49.250390441,4.02997595075
7130,Rennes,France,Bretagne,FR,FRA,48.1000213817,-1.67001204569
7037,Rouen,France,Haute-Normandie,FR,FRA,49.4304052929,1.07997513694
7190,Strasbourg,France,Alsace,FR,FRA,48.5799662466,7.75000728215
7630,Toulouse,France,Midi-Pyrénées,FR,FRA,43.6199589224,1.44992671571
10384,Berlin,Germany,Berlin,DE,DEU,52.5218186636,13.4015486233
10224,Bremen,Germany,Bremen,DE,DEU,53.080001647,8.80002070988
D1051,Dresden,Germany,Sachsen,DE,DEU,51.0499705191,13.7500028063
10400,Düsseldorf,Germany,Nordrhein-Westfalen,DE,DEU,51.2203735546,6.77998897159
10554,Erfurt,Germany,Thüringen,DE,DEU,50.9700529166,11.0299621161
10147,Hamburg,Germany,Hamburg,DE,DEU,53.5500246369,9.99999914413
10338,Hanover,Germany,Niedersachsen,DE,DEU,52.3669702343,9.71665726588
10046,Kiel,Germany,Schleswig-Holstein,DE,DEU,54.330390441,10.1300170478
10361,Magdeburg,Germany,Sachsen-Anhalt,DE,DEU,52.1304213655,11.6200036201
D3137,Mainz,Germany,Rheinland-Pfalz,DE,DEU,49.982472455,8.2732191555
10865,Munich,Germany,Bayern,DE,DEU,48.129942036,11.5749934475
10379,Potsdam,Germany,Brandenburg,DE,DEU,52.400404886,13.0699926337
D6217,Saarbrücken,Germany,Saarland,DE,DEU,49.250390441,6.97000321313
10162,Schwerin,Germany,Mecklenburg-Vorpommern,DE,DEU,53.6333040774,11.4166986105
10739,Stuttgart,Germany,Baden-Württemberg,DE,DEU,48.7799798778,9.19999629582
D5541,Wiesbaden,Germany,Hessen,DE,DEU,50.0803914582,8.250028441
42724,Agartala,India,Tripura,IN,IND,23.8354042755,91.2799991445
42618,Aizawl,India,Mizoram,IN,IND,23.7103989858,92.7200146067
43295,Bangalore,India,Karnataka,IN,IND,12.9699951365,77.5600097238
42667,Bhopal,India,Madhya Pradesh,IN,IND,23.2499878123,77.4099930409
42971,Bhubaneswar,India,Orissa,IN,IND,20.2704280792,85.8273603912
42105,Chandigarh,India,Chandigarh,IN,IND,30.7199969676,76.7800056548
43279,Chennai,India,Tamil Nadu,IN,IND,13.0899878122,80.2799987375
42840,Daman,India,Dadra and Nagar Haveli,IN,IND,20.4170082794,72.850012979
42111,Dehradun,India,Uttaranchal,IN,IND,30.3204089549,78.0500056548
42410,Dispur,India,Assam,IN,IND,26.1440230499,91.7666361074
42647,Gandhinagar,India,Dadra and Nagar Haveli,IN,IND,23.300398172,72.6399482818
43128,Hyderabad,India,Andhra Pradesh,IN,IND,17.3999831329,78.4799535715
42623,Imphal,India,Manipur,IN,IND,24.7999707224,93.9500170481
42309,Itanagar,India,Arunachal Pradesh,IN,IND,27.1003987824,93.616600707
42348,Jaipur,India,Rajasthan,IN,IND,26.9211332387,75.8099873443
43311,Kavaratti,India,Lakshadweep,IN,IND,10.5625733133,72.6368671667
42807,Kolkata,India,West Bengal,IN,IND,22.4949692983,88.3246756581
42369,Lucknow,India,Uttar Pradesh,IN,IND,26.8550390818,80.9149987375
43003,Mumbai,India,Maharashtra,IN,IND,19.0169903757,72.8569892974
42182,New Delhi,India,Delhi,IN,IND,28.6000230092,77.1999800201
43192,Panjim,India,Goa,IN,IND,15.4919969974,73.8180006499
42492,Patna,India,Bihar,IN,IND,25.6249591258,85.1300386138
43329,Pondicherry,India,Puducherry,IN,IND,11.9349937123,79.8300003651
43333,Port Blair,India,Andaman and Nicobar,IN,IND,11.6670255727,92.7359826243
42701,Ranchi,India,Jharkhand,IN,IND,23.3700063263,85.3300264068
42516,Shillong,India,Meghalaya,IN,IND,25.5704921661,91.8800141998
42083,Shimla,India,Himachal Pradesh,IN,IND,31.1000254507,77.1665970448
42027,Srinagar,India,Jammu and Kashmir,IN,IND,34.0999715363,74.8150093169
43371,Thiruvananthapuram,India,Kerala,IN,IND,8.49998374321,76.9500211171
47807,Fukuoka,Japan,Fukuoka,JP,JPN,33.5950152781,130.410013793
