country,date,sector,MtCO2_per_day
China,2021-12-01,Domestic Aviation,0.152469
Japan,2021-12-01,Industry,0.742694
Japan,2021-12-01,International Aviation,0.0109245
Japan,2021-12-01,Power,2.18069
Japan,2021-12-01,Residential,0.679816
Russia,2021-12-01,Domestic Aviation,0.0354576
Russia,2021-12-01,Ground Transport,0.691106
Russia,2021-12-01,Industry,0.683682
Russia,2021-12-01,International Aviation,0.00413429
Russia,2021-12-01,Power,2.88591
United Kingdom,2021-12-01,Domestic Aviation,0.0030378
United Kingdom,2021-12-01,Ground Transport,0.311255
United Kingdom,2021-12-01,Industry,0.19054
United Kingdom,2021-12-01,International Aviation,0.00990812
United Kingdom,2021-12-01,Power,0.304901
United Kingdom,2021-12-01,Residential,0.346181
United States,2021-12-01,Domestic Aviation,0.298675
United States,2021-12-01,Ground Transport,3.56267
United States,2021-12-01,Industry,3.024
United States,2021-12-01,International Aviation,0.107023
United States,2021-12-01,Power,4.65954
United States,2021-12-01,Residential,3.11211
Japan,2021-12-01,Ground Transport,0.482394
Japan,2021-12-01,Domestic Aviation,0.0141204
Russia,2021-12-01,Residential,1.07508
India,2021-12-01,Power,3.5673
India,2021-12-01,Residential,1.92822
China,2021-12-01,Ground Transport,2.42592
China,2021-12-01,Industry,12.6312
China,2021-12-01,International Aviation,0.0250123
China,2021-12-01,Power,17.1535
China,2021-12-01,Residential,3.79226
France,2021-12-01,Domestic Aviation,0.00503847
France,2021-12-01,Industry,0.187875
France,2021-12-01,International Aviation,0.0071135
France,2021-12-01,Power,0.151669
France,2021-12-01,Residential,0.360314
France,2021-12-01,Ground Transport,0.350509
India,2021-12-01,International Aviation,0.00624721
Germany,2021-12-01,Ground Transport,0.435035
Germany,2021-12-01,Industry,0.252435
Germany,2021-12-01,International Aviation,0.0112053
Germany,2021-12-01,Power,0.727242
Germany,2021-12-01,Residential,0.702505
India,2021-12-01,Domestic Aviation,0.0146316
India,2021-12-01,Ground Transport,0.830297
India,2021-12-01,Industry,2.0636
Germany,2021-12-01,Domestic Aviation,0.00249127
Russia,2021-12-02,Power,2.94067
Russia,2021-12-02,International Aviation,0.00594916
Russia,2021-12-02,Industry,0.796649
Russia,2021-12-02,Ground Transport,0.699232
Japan,2021-12-02,Industry,0.777175
Japan,2021-12-02,Residential,0.509238
Japan,2021-12-02,Power,1.76412
Japan,2021-12-02,International Aviation,0.0117334
Russia,2021-12-02,Residential,0.987766
Russia,2021-12-02,Domestic Aviation,0.0360334
United Kingdom,2021-12-02,Domestic Aviation,0.00330276
United States,2021-12-02,Residential,3.84564
United Kingdom,2021-12-02,Industry,0.197846
United Kingdom,2021-12-02,International Aviation,0.0104445
United Kingdom,2021-12-02,Power,0.205302
United Kingdom,2021-12-02,Residential,0.460915
United States,2021-12-02,Domestic Aviation,0.381946
United States,2021-12-02,Ground Transport,4.31272
United States,2021-12-02,Industry,2.82011
United States,2021-12-02,International Aviation,0.136899
United States,2021-12-02,Power,5.66472
Japan,2021-12-02,Ground Transport,0.4925
United Kingdom,2021-12-02,Ground Transport,0.307303
Japan,2021-12-02,Domestic Aviation,0.00911969
France,2021-12-02,Residential,0.47523
India,2021-12-02,Power,3.8258
India,2021-12-02,Residential,0.510067
China,2021-12-02,Domestic Aviation,0.0347497
China,2021-12-02,Ground Transport,2.18592
China,2021-12-02,Industry,7.72423
China,2021-12-02,International Aviation,0.0251125
China,2021-12-02,Power,10.4771
China,2021-12-02,Residential,2.7579
France,2021-12-02,Ground Transport,0.342804
France,2021-12-02,Industry,0.237596
France,2021-12-02,International Aviation,0.00870941
France,2021-12-02,Power,0.153916
France,2021-12-02,Domestic Aviation,0.00457499
Germany,2021-12-02,Domestic Aviation,0.00272887
India,2021-12-02,Industry,2.2406
India,2021-12-02,Ground Transport,0.836736
India,2021-12-02,Domestic Aviation,0.0167932
Germany,2021-12-02,Residential,1.09079
India,2021-12-02,International Aviation,0.00799723
Germany,2021-12-02,International Aviation,0.0135424
Germany,2021-12-02,Industry,0.474686
Germany,2021-12-02,Ground Transport,0.434908
Germany,2021-12-02,Power,0.934631
Russia,2021-12-03,Residential,0.919201
Japan,2021-12-03,Industry,0.913307
Japan,2021-12-03,International Aviation,0.0129706
Japan,2021-12-03,Power,1.58905
Japan,2021-12-03,Residential,0.376139
Russia,2021-12-03,Domestic Aviation,0.038936
Russia,2021-12-03,Ground Transport,0.694211
Russia,2021-12-03,Industry,0.882596
Russia,2021-12-03,International Aviation,0.00587144
Russia,2021-12-03,Power,2.68478
United Kingdom,2021-12-03,Domestic Aviation,0.00335658
United States,2021-12-03,Residential,1.68964
United Kingdom,2021-12-03,Industry,0.101786
United Kingdom,2021-12-03,International Aviation,0.0111854
United Kingdom,2021-12-03,Power,0.0992452
United Kingdom,2021-12-03,Residential,0.321022
United States,2021-12-03,Domestic Aviation,0.448052
United States,2021-12-03,Ground Transport,4.58631
United States,2021-12-03,Industry,2.66057
United States,2021-12-03,International Aviation,0.138185
United States,2021-12-03,Power,3.46616
Japan,2021-12-03,Ground Transport,0.49491
United Kingdom,2021-12-03,Ground Transport,0.329647
Japan,2021-12-03,Domestic Aviation,0.0149232
France,2021-12-03,Residential,0.289877
India,2021-12-03,Power,3.9745
China,2021-12-03,Ground Transport,2.40863
China,2021-12-03,Industry,13.013
China,2021-12-03,International Aviation,0.0266596
China,2021-12-03,Power,14.7928
China,2021-12-03,Residential,2.39216
France,2021-12-03,Domestic Aviation,0.00370529
France,2021-12-03,Ground Transport,0.347966
France,2021-12-03,Industry,0.10074
France,2021-12-03,International Aviation,0.00802927
France,2021-12-03,Power,0.0561068
China,2021-12-03,Domestic Aviation,0.189902
Germany,2021-12-03,Domestic Aviation,0.00280929
India,2021-12-03,International Aviation,0.00785232
India,2021-12-03,Industry,2.18046
India,2021-12-03,Ground Transport,0.837052
India,2021-12-03,Domestic Aviation,0.0167678
India,2021-12-03,Residential,0.387153
Germany,2021-12-03,Power,0.280825
Germany,2021-12-03,International Aviation,0.0138531
Germany,2021-12-03,Industry,0.163704
